ID,Reference(s),Map update,Reference DOI #,"Latitude (decimal deg., WGS 84)","Longitude (decimal deg., WGS 84)",event.start,event.end
GTM_84,"Rolim et al., 2005",2010,,12.61106749,-75.66330912,1986,1999
GTM_85,"Williamson et al., 2000, Laurance et al., 2001",2010,,-20.80895881,-39.3050265,1997,
GTM_86,"Chazdon et al., 2005",2010,,0.762900541,-60.38596598,1998,
GTM_87,"Suarez et al., 2004, Suarez and Kitzberger, 2008, Bran et al., 2001",2010,,0.557057666,-62.40428183,1998,1999
GTM_88,Nepstad et al. 2007,2010,,-27.43574642,-57.54513505,2000,2004
GTM_89,Phillips et al. 2009,2010,,-20.51266853,-52.21579283,2005,
GTM_90,"Mehl, J. WM, et al. ""Die-back of kiaat (Pterocarpus angolensis) in southern Africa: a cause for concern?."" Southern Forests: a Journal of Forest Science 72.3-4 (2010): 121-132.",2014,https://doi.org/10.2989/20702620.2010.547244,25.37066,30.69996,1991,2005
GTM_91,"Mokria, Mulugeta, et al. ""Tree dieback affects climate change mitigation potential of a dry afromontane forest in northern Ethiopia."" Forest Ecology and Management 344 (2015): 73-83.",2015,https://doi.org/10.1016/j.foreco.2015.02.008,13.375508,39.513702,1983,1985
GTM_92,"Van der Linde, J. A., et al. ""Die-off of giant Euphorbia trees in South Africa: Symptoms and relationships to climate."" South African journal of botany 83 (2012): 172-185.",2014,https://doi.org/10.1016/j.sajb.2012.08.008,-24.16538,29.03792,1995,2010
GTM_93,"Fauset, Sophie, et al. ""Drought?induced shifts in the floristic and functional composition of tropical forests in Ghana."" Ecology letters 15.10 (2012): 1120-1129.",2014,https://doi.org/10.1111/j.1461-0248.2012.01834.x,6.56,-2.22,1970,ongoing
GTM_94,"Zhang, Li, et al. ""The 2010 spring drought reduced primary productivity in southwestern China."" Environmental Research Letters 7.4 (2012): 045706.",2015,https://doi.org/10.1088/1748-9326/7/4/045706,27.789276,104.875488,2009,2010
GTM_95,"Gonzalez, Patrick, Compton J. Tucker, and H. Sy. ""Tree density and species decline in the African Sahel attributable to climate."" Journal of Arid Environments 78 (2012): 55-64.",2014,https://doi.org/10.1016/j.jaridenv.2011.11.001,16.23,-15.1,,n/a
GTM_96,"Zhang, Xiongqing, et al. ""Tree mortality in response to climate change induced drought across Beijing, China."" Climatic change 124.1-2 (2014): 179-190.",2015,https://doi.org/10.1007/s10584-014-1089-0,39.922478,116.44371,1986,2006
GTM_97,"Kherchouche, Dalila, et al. ""Impact of droughts on Cedrus atlantica forests dieback in the Aurès (Algeria)."" Journal of Life Sciences 6.11 (2012): 1262.",2014,n/a,35.52362,5.960033,1978,1980
GTM_98,"Dulamsuren, Choimaa, et al. ""Performance of Siberian elm (Ulmus pumila) on steppe slopes of the northern Mongolian mountain taiga: drought stress and herbivory in mature trees."" Environmental and Experimental Botany 66.1 (2009): 18-24.",2014,https://doi.org/10.1016/j.envexpbot.2008.12.020,49.03,107.25,,n/a
GTM_99,"Kharuk, V. I., et al. ""Climate induced birch mortality in Trans-Baikal lake region, Siberia."" Forest Ecology and Management 289 (2013): 385-392.",2014,https://doi.org/10.1016/j.foreco.2012.10.024,51.41667,116,2000,2010
